Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
3hoXhwP0ub9LdSJV4olDIc,"0L5GV6LN8SWWUWIdBbTLTZ,5SuRAj1A9FEHj5NxS86YAm",Tere Naina,My Name Is Khan (Original Motion Picture Soundtrack),"Shankar-Ehsaan-Loy,Shafqat Amanat Ali",1/5/2010,278546,68,spotify:user:i5xmc431rymuesehhxjn3u4tx,2023-07-31T02:19:20Z,"filmi,modern bollywood,classic pakistani pop,sufi",0.522,0.74,0,-7.018,1,0.0465,0.558,0,0.144,0.732,92.618,4
2lfKa3eVovQUNoPlxb0dwi,"3pQ4aA7dkolyjUAMrVScgh,0T1CMVkqffHlqEk4BcAph1",Aaj Ke Baad (From Satyaprem Ki Katha),Aaj Ke Baad (From Satyaprem Ki Katha),"Manan Bhardwaj,Tulsi Kumar",6/10/2023,217123,61,spotify:user:i5xmc431rymuesehhxjn3u4tx,2023-07-31T02:19:37Z,"desi pop,modern bollywood,filmi",0.483,0.608,0,-6.109,1,0.0313,0.48,0.00000166,0.1,0.29,86.933,3
7mSzDKajY2wUtstQSLdzMK,"5GnnSrwNCGyfAU4zuIytiS,3dN9MQpjIyNxyeRfz4EDZe",Rang Lageya,Rang Lageya,"Mohit Chauhan,Rochak Kohli",3/17/2021,227962,75,spotify:user:i5xmc431rymuesehhxjn3u4tx,2023-07-31T02:19:44Z,"filmi,modern bollywood,desi pop",0.651,0.503,4,-8.729,1,0.0261,0.504,0,0.469,0.58,108.014,4
6YvqWjhGD8mB5QXcbcUKtx,06HL4z0CvFAxyc27GXpf02,Love Story (Taylor’s Version),Fearless (Taylor's Version),Taylor Swift,4/9/2021,235766,81,spotify:user:i5xmc431rymuesehhxjn3u4tx,2023-07-31T04:30:32Z,pop,0.627,0.792,2,-4.311,1,0.031,0.13,0.00000397,0.0845,0.415,119.054,4
1htQDV8JxSuXG2QsNj5ttr,6jJ0s89eD6GaHleKKya26X,Last Friday Night (T.G.I.F.),Teenage Dream,Katy Perry,1/1/2010,230733,73,spotify:user:i5xmc431rymuesehhxjn3u4tx,2023-07-31T04:30:43Z,pop,0.652,0.812,3,-3.797,0,0.0409,0.00125,0.0000301,0.667,0.72,126.023,4
0ug5NqcwcFR2xrfTkc7k8e,06HL4z0CvFAxyc27GXpf02,Style,1989 (Deluxe),Taylor Swift,1/1/2014,231000,91,spotify:user:i5xmc431rymuesehhxjn3u4tx,2023-07-31T04:30:52Z,pop,0.588,0.791,7,-5.595,1,0.0402,0.00245,0.00258,0.118,0.487,94.933,4
1dGr1c8CrMLDpV6mPbImSI,06HL4z0CvFAxyc27GXpf02,Lover,Lover,Taylor Swift,8/23/2019,221306,90,spotify:user:i5xmc431rymuesehhxjn3u4tx,2023-07-31T04:31:07Z,pop,0.359,0.543,7,-7.582,1,0.0919,0.492,0.0000158,0.118,0.453,68.534,4
1Ov37jtRQ2YNAe8HzfczkL,06HL4z0CvFAxyc27GXpf02,Wildest Dreams (Taylor's Version),Wildest Dreams (Taylor's Version),Taylor Swift,9/17/2021,220433,86,spotify:user:i5xmc431rymuesehhxjn3u4tx,2023-07-31T04:31:41Z,pop,0.583,0.67,8,-7.289,1,0.0646,0.0374,0.0001,0.126,0.498,140.061,4
1BxfuPKGuaTgP7aM0Bbdwr,06HL4z0CvFAxyc27GXpf02,Cruel Summer,Lover,Taylor Swift,8/23/2019,178426,99,spotify:user:i5xmc431rymuesehhxjn3u4tx,2023-07-31T04:32:09Z,pop,0.552,0.702,9,-5.707,1,0.157,0.117,0.0000206,0.105,0.564,169.994,4
5CZ40GBx1sQ9agT82CLQCT,1McMsnEElThX1knmY4oliG,traitor,SOUR,Olivia Rodrigo,5/21/2021,229226,88,spotify:user:i5xmc431rymuesehhxjn3u4tx,2023-07-31T04:32:35Z,pop,0.38,0.339,3,-7.885,1,0.0338,0.691,0,0.12,0.0849,100.607,4
